name,time,level description,location,water_level
h2o_feet,1566055800000000000,below 3 feet,coyote_creek,2.457
h2o_feet,1566055800000000000,below 3 feet,santa_monica,2.615
h2o_feet,1566056160000000000,below 3 feet,coyote_creek,2.333
h2o_feet,1566056160000000000,below 3 feet,santa_monica,2.674
h2o_feet,1566056520000000000,below 3 feet,coyote_creek,2.211
h2o_feet,1566056520000000000,below 3 feet,santa_monica,2.776
h2o_feet,1566056880000000000,below 3 feet,coyote_creek,2.093
h2o_feet,1566056880000000000,below 3 feet,santa_monica,2.887
h2o_feet,1566057240000000000,below 3 feet,coyote_creek,1.975
h2o_feet,1566057240000000000,below 3 feet,santa_monica,2.936
h2o_feet,1566057600000000000,below 3 feet,coyote_creek,1.864
h2o_feet,1566057600000000000,between 3 and 6 feet,santa_monica,3.038
h2o_feet,1566057960000000000,below 3 feet,coyote_creek,1.759
h2o_feet,1566057960000000000,between 3 and 6 feet,santa_monica,3.114
h2o_feet,1566058320000000000,below 3 feet,coyote_creek,1.663
h2o_feet,1566058320000000000,between 3 and 6 feet,santa_monica,3.176
h2o_feet,1566058680000000000,below 3 feet,coyote_creek,1.575
h2o_feet,1566058680000000000,between 3 and 6 feet,santa_monica,3.32
h2o_feet,1566059040000000000,below 3 feet,coyote_creek,1.496
h2o_feet,1566059040000000000,between 3 and 6 feet,santa_monica,3.415
h2o_feet,1566059400000000000,below 3 feet,coyote_creek,1.43
h2o_feet,1566059400000000000,between 3 and 6 feet,santa_monica,3.422
h2o_feet,1566059760000000000,below 3 feet,coyote_creek,1.394
h2o_feet,1566059760000000000,between 3 and 6 feet,santa_monica,3.494
h2o_feet,1566060120000000000,below 3 feet,coyote_creek,1.358
h2o_feet,1566060120000000000,between 3 and 6 feet,santa_monica,3.615
h2o_feet,1566060480000000000,below 3 feet,coyote_creek,1.342
h2o_feet,1566060480000000000,between 3 and 6 feet,santa_monica,3.72
h2o_feet,1566060840000000000,below 3 feet,coyote_creek,1.342
h2o_feet,1566060840000000000,between 3 and 6 feet,santa_monica,3.829
h2o_feet,1566061200000000000,below 3 feet,coyote_creek,1.358
h2o_feet,1566061200000000000,between 3 and 6 feet,santa_monica,3.881
h2o_feet,1566061560000000000,below 3 feet,coyote_creek,1.394
h2o_feet,1566061560000000000,between 3 and 6 feet,santa_monica,3.871
h2o_feet,1566061920000000000,below 3 feet,coyote_creek,1.444
h2o_feet,1566061920000000000,between 3 and 6 feet,santa_monica,3.927
h2o_feet,1566062280000000000,below 3 feet,coyote_creek,1.509
h2o_feet,1566062280000000000,between 3 and 6 feet,santa_monica,4.003
h2o_feet,1566062640000000000,below 3 feet,coyote_creek,1.572
h2o_feet,1566062640000000000,between 3 and 6 feet,santa_monica,4.177
h2o_feet,1566063000000000000,below 3 feet,coyote_creek,1.654
h2o_feet,1566063000000000000,between 3 and 6 feet,santa_monica,4.245
h2o_feet,1566063360000000000,below 3 feet,coyote_creek,1.755
h2o_feet,1566063360000000000,between 3 and 6 feet,santa_monica,4.334
h2o_feet,1566063720000000000,below 3 feet,coyote_creek,1.864
h2o_feet,1566063720000000000,between 3 and 6 feet,santa_monica,4.37
h2o_feet,1566064080000000000,below 3 feet,coyote_creek,1.975
h2o_feet,1566064080000000000,between 3 and 6 feet,santa_monica,4.314
h2o_feet,1566064440000000000,below 3 feet,coyote_creek,2.113
h2o_feet,1566064440000000000,between 3 and 6 feet,santa_monica,4.413
h2o_feet,1566064800000000000,below 3 feet,coyote_creek,2.247
h2o_feet,1566064800000000000,between 3 and 6 feet,santa_monica,4.534
h2o_feet,1566065160000000000,below 3 feet,coyote_creek,2.388
h2o_feet,1566065160000000000,between 3 and 6 feet,santa_monica,4.596
h2o_feet,1566065520000000000,below 3 feet,coyote_creek,2.516
h2o_feet,1566065520000000000,between 3 and 6 feet,santa_monica,4.557
h2o_feet,1566065880000000000,below 3 feet,coyote_creek,2.661
h2o_feet,1566065880000000000,between 3 and 6 feet,santa_monica,4.57
h2o_feet,1566066240000000000,below 3 feet,coyote_creek,2.802
h2o_feet,1566066240000000000,between 3 and 6 feet,santa_monica,4.652
h2o_feet,1566066600000000000,below 3 feet,coyote_creek,2.956
h2o_feet,1566066600000000000,between 3 and 6 feet,santa_monica,4.734
h2o_feet,1566066960000000000,between 3 and 6 feet,coyote_creek,3.097
h2o_feet,1566066960000000000,between 3 and 6 feet,santa_monica,4.783
h2o_feet,1566067320000000000,between 3 and 6 feet,coyote_creek,3.251
h2o_feet,1566067320000000000,between 3 and 6 feet,santa_monica,4.82
h2o_feet,1566067680000000000,between 3 and 6 feet,coyote_creek,3.389
